1232;Barry French
1233;Clay Rozendal
1234;Carlos Soltero
1235;Carl Jackson
1236;Monica Federle
1237;Dorothy Badders
1238;Neola Schneider
1239;Carlos Daly
1240;Claudia Miner
1241;Allen Rosenblatt
1242;Sylvia Foulston
1243;Jim Radford
1244;Carl Ludwig
1245;Don Miller
1246;Annie Cyprus
1247;Grant Carroll
1248;Alan Barnes
1249;Jack Garza
1250;Julia West
1251;Eugene Barchas
1252;Edward Hooks
1253;Brad Eason
1254;Nicole Hansen
1255;Dorothy Wardle
1256;Aaron Bergman
1257;Don Jones
1258;Beth Thompson
1259;Frank Price
1260;Michelle Lonsdale
1261;Ann Chong
1262;Joy Bell
1263;Skye Norling
1264;Barry Weirich
1265;Adrian Hane
1266;Andrew Gjertsen
1267;Ralph Knight
1268;Beth Paige
1269;Bryan Davis
1270;Delfina Latchford
1271;Doug Bickford
1272;Jamie Kunitz
1273;Anthony Johnson
